Date,Description,Status,Major Rd,Minor Rd,Inconclusive,Cords,Map,Fatal Crash,Fatal Persons,Twp,CVT,Distracted,Driveway Related,Intersection Related,Road side Fixed object,"Human (speeding, Seatbelt, Helmet, Drwosy, imparied, distracted)",Work Zone?,Animal Related?,Left of Center,Alcohol_Drugs,Medical,Gravel,Wet/Snow/Ice,Teen,Pedestrian_Bike,Motorcycle/ATV/Snowmobile,Elderly
11/21/2011,EB Motorist on Pontiac Trail just west of South Hill Road crossed the centerline and ran off the road continued eastbound in the ditch before striking a tree and rolling over. The driver was ejected from the vehicle. Alcohol believed to be a factor.,,Pontiac Trail,South Hill Rd,,,,1,1,,,,,,,,,,,1,,,,,0,0,
12/7/2011,"EB motorist on Middle Road, east of Hickory Ridge Road ran off the road, struck several trees and overturned the vehicle while falling down an embankment. A passenger was ejected from the vehicle and died.",,Middle Rd,Hickory Ridge,,,,1,1,,,,,,,,,,,,,,,,0,0,
12/7/2011,WB Walton Blvd motorists crossed the centerline striking a guardrail and then sideswiped vehicle #2 before hitting vehicle #3 head-on that was EB on Walton Blvd. Elderly driver of vehicle #1 was transported to the hospital where he was pronounced deceased. He may have suffered a medical condition prior to the crash.,,Walton Blvd,,,,,1,1,,,,,,,,,,,,,,,,0,0,1
12/13/2011,"Pedestrian walking in the eastbound lane of West Maple Road approximately 1,000 feet east of Benstein Road was hit by a vehicle. Driver of the vehicle did not stop. Pedestrian died from injuries the following day.",,West Maple Rd,Benstein Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
12/31/2011,Pedestrian crossing Southfield Road at George Washington Drive (south of 10 Mile Road) from west to east was killed when struck by two southbound vehicles.,,Southfield Rd,George Washington Dr,,,,1,1,,,,,,,,,,,,,,,,1,0,
1/19/2012,Motorist with passenger in the vehicle on northbound Baldwin Road approximately 300 feet north of Judah Road lost control during snow and blowing snow conditions and crossed the centerline where they were hit by a southbound vehicle. The passenger was killed.,,Baldwin Rd,Judah Rd,,,,1,1,,,,,,,,,,,,,,1,,0,0,
1/21/2012,"Motorist was killed when travelling westbound on Pontiac Lake Road, near Margie Drive, west of Fisk Road when a tree fell on their vehicle. The vehicle came to rest in a swampy ravine. The drive died the next day from injuries sustained in the accident.",,Pontiac Lake Rd,Margie Dr,,,,1,1,,,,,,1,,,,,,,,,,0,0,
2/4/2012,"Pedestrian in the middle of southbound Carroll Lake Road, just south of West Grand Traverse at night was killed when struck by a southbound vehicle.",,Carroll Lake Rd,West Grand Traverse Rd,,,,1,1,,,,,,,,,,,,,,,,1,0,
2/12/2012,"A motorist has died the following day after a crash on northbound Rochester Road, north of Gunn Road where she hit a snowy patch and slid across the centerline into the path of a southbound motorist.",,Rochester Rd,Gunn Rd,,,,1,1,,,,,,,,,,,,,,1,,0,0,
2/13/2012,"Motorist with passenger travelling on eastbound Cooley Lake Road near McDougal Street crossed the centerline and ran off the road into the ditch, rolled over and hit a fence, both were ejected from the vehicle, neither were wearing a seatbelt. The driver was killed. Alcohol is believed to be a factor in the crash.",,Cooley Lake Rd,McDougal St,,,,1,1,,,,,,,,,,,1,,,,,0,0,
3/1/2012,"Motorist was killed when they crossed the centerline on northbound Harvey Lake Road, just south of Dunleavy Drive, and hit a southbound vehicle head-on.",,Harvey Lake Rd,Dunleavy Dr,,,,1,1,,,,,,,,,,,,,,,,0,0,
